Y,M,D,H,DTW_ft,DTW_m
2013,10,1,0,154.19,46.997112
2013,10,1,1,154.17,46.991016
2013,10,1,2,154.17,46.991016
2013,10,1,3,154.16,46.987968
2013,10,1,4,154.15,46.98492
2013,10,1,5,154.13,46.978824
2013,10,1,6,154.13,46.978824
2013,10,1,7,154.12,46.975776
2013,10,1,8,154.11,46.972728
2013,10,1,9,154.1,46.96968
2013,10,1,10,154.1,46.96968
2013,10,1,11,154.09,46.966632
2013,10,1,12,154.07,46.960536
2013,10,1,13,154.04,46.951392
2013,10,1,14,154.02,46.945296
2013,10,1,15,153.99,46.936152
2013,10,1,16,153.95,46.92396
2013,10,1,17,153.91,46.911768
2013,10,1,18,153.87,46.899576
2013,10,1,19,153.83,46.887384
2013,10,1,20,153.79,46.875192
2013,10,1,21,153.76,46.866048
2013,10,1,22,153.74,46.859952
2013,10,1,23,153.72,46.853856
2013,10,2,0,153.71,46.850808
2013,10,2,1,153.69,46.844712
2013,10,2,2,153.68,46.841664
2013,10,2,3,153.67,46.838616
2013,10,2,4,153.66,46.835568
2013,10,2,5,153.65,46.83252
2013,10,2,6,153.65,46.83252
2013,10,2,7,153.64,46.829472
2013,10,2,8,153.63,46.826424
2013,10,2,9,153.63,46.826424
2013,10,2,10,153.62,46.823376
2013,10,2,11,153.61,46.820328
2013,10,2,12,153.61,46.820328
2013,10,2,13,153.6,46.81728
2013,10,2,14,153.6,46.81728
2013,10,2,15,153.59,46.814232
2013,10,2,16,153.58,46.811184
2013,10,2,17,153.57,46.808136
2013,10,2,18,153.56,46.805088
2013,10,2,19,153.54,46.798992
2013,10,2,20,153.54,46.798992
2013,10,2,21,153.53,46.795944
2013,10,2,22,153.52,46.792896
2013,10,2,23,153.51,46.789848
2013,10,3,0,153.51,46.789848
2013,10,3,1,153.5,46.7868
2013,10,3,2,153.5,46.7868
2013,10,3,3,153.5,46.7868
2013,10,3,4,153.49,46.783752
2013,10,3,5,153.49,46.783752
2013,10,3,6,153.48,46.780704
2013,10,3,7,153.47,46.777656
2013,10,3,8,153.47,46.777656
2013,10,3,9,153.47,46.777656
2013,10,3,10,153.46,46.774608
2013,10,3,11,153.46,46.774608
2013,10,3,12,153.45,46.77156
2013,10,3,13,153.43,46.765464
2013,10,3,14,153.42,46.762416
2013,10,3,15,153.39,46.753272
2013,10,3,16,153.36,46.744128
2013,10,3,17,153.32,46.731936
2013,10,3,18,153.28,46.719744
2013,10,3,19,153.25,46.7106
2013,10,3,20,153.22,46.701456
2013,10,3,21,153.19,46.692312
2013,10,3,22,153.17,46.686216
2013,10,3,23,153.16,46.683168
2013,10,4,0,153.15,46.68012
2013,10,4,1,153.14,46.677072
2013,10,4,2,153.14,46.677072
2013,10,4,3,153.13,46.674024
2013,10,4,4,153.12,46.670976
2013,10,4,5,153.12,46.670976
2013,10,4,6,153.11,46.667928
2013,10,4,7,153.1,46.66488
2013,10,4,8,153.09,46.661832
2013,10,4,9,153.08,46.658784
2013,10,4,10,153.07,46.655736
2013,10,4,11,153.05,46.64964
2013,10,4,12,153.03,46.643544
2013,10,4,13,153.01,46.637448
2013,10,4,14,152.99,46.631352
2013,10,4,15,152.97,46.625256
2013,10,4,16,152.95,46.61916
2013,10,4,17,152.92,46.610016
2013,10,4,18,152.89,46.600872
2013,10,4,19,152.87,46.594776
2013,10,4,20,152.85,46.58868
2013,10,4,21,152.84,46.585632
2013,10,4,22,152.82,46.579536
2013,10,4,23,152.81,46.576488
2013,10,5,0,152.8,46.57344
2013,10,5,1,152.79,46.570392
2013,10,5,2,152.78,46.567344
2013,10,5,3,152.78,46.567344
2013,10,5,4,152.77,46.564296
2013,10,5,5,152.76,46.561248
2013,10,5,6,152.75,46.5582
2013,10,5,7,152.76,46.561248
2013,10,5,8,152.75,46.5582
2013,10,5,9,152.75,46.5582
2013,10,5,10,152.75,46.5582
2013,10,5,11,152.74,46.555152
2013,10,5,12,152.73,46.552104
2013,10,5,13,152.72,46.549056
2013,10,5,14,152.7,46.54296
2013,10,5,15,152.68,46.536864
2013,10,5,16,152.64,46.524672
2013,10,5,17,152.61,46.515528
2013,10,5,18,152.58,46.506384
2013,10,5,19,152.56,46.500288
2013,10,5,20,152.54,46.494192
2013,10,5,21,152.52,46.488096
2013,10,5,22,152.5,46.482
2013,10,5,23,152.49,46.478952
2013,10,6,0,152.49,46.478952
2013,10,6,1,152.48,46.475904
2013,10,6,2,152.48,46.475904
2013,10,6,3,152.48,46.475904
2013,10,6,4,152.48,46.475904
2013,10,6,5,152.46,46.469808
2013,10,6,6,152.46,46.469808
2013,10,6,7,152.46,46.469808
2013,10,6,8,152.45,46.46676
2013,10,6,9,152.45,46.46676
2013,10,6,10,152.45,46.46676
2013,10,6,11,152.44,46.463712
2013,10,6,12,152.43,46.460664
2013,10,6,13,152.42,46.457616
2013,10,6,14,152.39,46.448472
2013,10,6,15,152.38,46.445424
2013,10,6,16,152.37,46.442376
2013,10,6,17,152.35,46.43628
2013,10,6,18,152.32,46.427136
2013,10,6,19,152.3,46.42104
2013,10,6,20,152.28,46.414944
2013,10,6,21,152.26,46.408848
2013,10,6,22,152.25,46.4058
2013,10,6,23,152.24,46.402752
2013,10,7,0,152.24,46.402752
2013,10,7,1,152.24,46.402752
2013,10,7,2,152.23,46.399704
2013,10,7,3,152.23,46.399704
2013,10,7,4,152.23,46.399704
2013,10,7,5,152.23,46.399704
2013,10,7,6,152.22,46.396656
2013,10,7,7,152.22,46.396656
2013,10,7,8,152.21,46.393608
2013,10,7,9,152.21,46.393608
2013,10,7,10,152.2,46.39056
2013,10,7,11,152.18,46.384464
2013,10,7,12,152.19,46.387512
2013,10,7,13,152.18,46.384464
2013,10,7,14,152.17,46.381416
2013,10,7,15,152.15,46.37532
2013,10,7,16,152.13,46.369224
2013,10,7,17,152.1,46.36008
2013,10,7,18,152.07,46.350936
2013,10,7,19,152.05,46.34484
2013,10,7,20,152.03,46.338744
2013,10,7,21,152.02,46.335696
2013,10,7,22,152.01,46.332648
2013,10,7,23,152,46.3296
2013,10,8,0,152,46.3296
2013,10,8,1,152,46.3296
2013,10,8,2,152,46.3296
2013,10,8,3,152,46.3296
2013,10,8,4,152.01,46.332648
2013,10,8,5,152.01,46.332648
2013,10,8,6,152.01,46.332648
2013,10,8,7,152.02,46.335696
2013,10,8,8,152.02,46.335696
2013,10,8,9,152.03,46.338744
2013,10,8,10,152.03,46.338744
2013,10,8,11,152.03,46.338744
2013,10,8,12,152.03,46.338744
2013,10,8,13,152.03,46.338744
2013,10,8,14,152.02,46.335696
2013,10,8,15,152.02,46.335696
2013,10,8,16,152.01,46.332648
2013,10,8,17,152,46.3296
2013,10,8,18,151.98,46.323504
2013,10,8,19,151.97,46.320456
2013,10,8,20,151.96,46.317408
2013,10,8,21,151.95,46.31436
2013,10,8,22,151.95,46.31436
2013,10,8,23,151.95,46.31436
2013,10,9,0,151.95,46.31436
